Brand_Acc,createddate,salesid,subtotal,totaldiscount,osschannelid,dwinf_salesactivity,dataareaid,Transaction_ID,Medium,Date,Product_Revenue
B000691478,18JUN2017:00:00:00.000,SO01957111,139.99,139.99,Web,RECR,au,o459227760,organic,17/06/2017,$266.78
B000675269,19JUN2017:00:00:00.000,SO01957181,374.73,374.73,Web,RT,au,o428473303,organic,19/06/2017,$714.12
B000412154,20JUN2017:00:00:00.000,SO01958244,302.82,302.82,Web,RT,au,o428206694,organic,20/06/2017,$577.08
B000359870,20JUN2017:00:00:00.000,SO01959081,347.76,312.98,Web,RT,au,o171900864,organic,20/06/2017,$662.72
B000359870,20JUN2017:00:00:00.000,SO01959088,139.99,139.99,Web,RECR,au,o461813516,organic,20/06/2017,$266.78
B000453814,21JUN2017:00:00:00.000,SO01959516,139.99,139.99,Web,RECR,au,o286710288,organic,21/06/2017,$266.78
B000529968,21JUN2017:00:00:00.000,SO01959834,139.99,149.98,Web,RECR,au,o242748462,organic,21/06/2017,$266.78
B000692424,22JUN2017:00:00:00.000,SO01960188,139.99,139.99,Web,RECR,au,o463208219,organic,22/06/2017,$266.78
B000210572,23JUN2017:00:00:00.000,SO01962486,77.94,87.93,Web,RT,au,o213618380,organic,23/06/2017,$148.53
B000405881,23JUN2017:00:00:00.000,SO01962777,394.84,394.84,Web,RT,au,o426669723,organic,23/06/2017,$752.44
B000665726,28JUN2017:00:00:00.000,SO01966030,131.88,141.87,Web,RT,au,o415842245,organic,28/06/2017,$251.32
B000645163,29JUN2017:00:00:00.000,SO01967278,155.88,170.87,Web,EM,au,o440622078,organic,29/06/2017,$297.06
B000687160,30JUN2017:00:00:00.000,SO01969471,229.5,242.49,Web,EM,au,o445855354,organic,30/06/2017,$437.36
B000694716,30JUN2017:00:00:00.000,SO01969874,139.99,139.99,Web,RECR,au,o471344727,organic,01/07/2017,$266.78
B000624860,03JUL2017:00:00:00.000,SO01970626,139.99,139.99,Web,RECR,au,o370048241,organic,03/07/2017,$266.78
B000474623,04JUL2017:00:00:00.000,SO01970996,227.88,237.87,Web,WEB,au,o271526399,organic,04/07/2017,$434.27
B000256765,04JUL2017:00:00:00.000,SO01971422,139.99,139.99,Web,RECR,au,o474486909,organic,04/07/2017,$266.78
B000561530,05JUL2017:00:00:00.000,SO01971687,89.94,99.93,Web,WEB,au,o412741350,organic,05/07/2017,$171.40
B000665020,05JUL2017:00:00:00.000,SO01972076,139.99,139.99,Web,RECR,au,o433861019,organic,05/07/2017,$266.78
B000507020,05JUL2017:00:00:00.000,SO01972141,139.99,149.98,Web,RECR,au,o316963430,organic,05/07/2017,$266.78
B000672517,05JUL2017:00:00:00.000,SO01972206,119.88,129.87,Web,UP,au,o463908775,organic,05/07/2017,$228.45
B000113729,05JUL2017:00:00:00.000,SO01972336,314.73,314.73,Web,WEB,au,o230958988,organic,05/07/2017,$599.78
B000671258,07JUL2017:00:00:00.000,SO01975430,139.99,139.99,Web,RECR,au,o448315836,organic,07/07/2017,$266.78
B000075376,07JUL2017:00:00:00.000,SO01975821,196.78,206.77,Web,WEB,au,o108635387,organic,07/07/2017,$375
B000007851,09JUL2017:00:00:00.000,SO01976648,359.76,359.76,Web,WEB,au,o433346882,organic,09/07/2017,$342.80
B000146733,09JUL2017:00:00:00.000,SO01976812,179.99,189.98,Web,RECR,au,o322011410,organic,09/07/2017,$343
B000668785,09JUL2017:00:00:00.000,SO01976856,179.88,189.87,Web,WEB,au,o433946763,organic,09/07/2017,$342.80
B000696712,10JUL2017:00:00:00.000,SO01977545,139.99,139.99,Web,RECR,au,o480583637,organic,10/07/2017,$266.78
B000250976,10JUL2017:00:00:00.000,SO01978146,161.88,160.68,Web,WEB,au,o283881873,organic,10/07/2017,$308.49
B000285356,10JUL2017:00:00:00.000,SO01978226,335.76,335.76,Web,WEB,au,o481619837,organic,11/07/2017,$639.85
B000696945,11JUL2017:00:00:00.000,SO01978478,139.99,139.99,Web,RECR,au,o481738495,organic,11/07/2017,$266.78
B000427836,11JUL2017:00:00:00.000,SO01978878,431.64,388.48,Web,WEB,au,o331869199,organic,11/07/2017,$822.57
B000695715,12JUL2017:00:00:00.000,SO01980419,216.75,226.74,Web,WEB,au,o483508181,organic,12/07/2017,$413.06
B000659790,12JUL2017:00:00:00.000,SO01980431,219.86,229.85,Web,WEB,au,o431744908,organic,12/07/2017,$418.98
B000673162,13JUL2017:00:00:00.000,SO01981593,350.7,330.7,Web,EM,au,o460549196,organic,14/07/2017,$668.33
B000698243,15JUL2017:00:00:00.000,SO01982963,139.99,139.99,Web,RECR,au,o486857275,organic,15/07/2017,$266.78
B000151519,17JUL2017:00:00:00.000,SO01984036,139.99,139.99,Web,RECR,au,o488770897,organic,17/07/2017,$266.78
B000698940,17JUL2017:00:00:00.000,SO01984821,139.99,139.99,Web,RECR,au,o489189537,organic,17/07/2017,$266.78
